allnames	allsizes	species	reverse	seqname_aleu	CHR
Sebaleu.F.PGA_scaffold_17__13	30037646	Sebastes_aleutianus	normal	Sebastes_aleutianus.PGA_scaffold_17__13	Chr17
Sebaleu.F.PGA_scaffold_34__18	29799820	Sebastes_aleutianus	normal	Sebastes_aleutianus.PGA_scaffold_34__18	Chr18
Sebaleu.F.PGA_scaffold_31__9	27905430	Sebastes_aleutianus	normal	Sebastes_aleutianus.PGA_scaffold_31__9	Chr19
Sebaleu.F.PGA_scaffold_4__17	27720802	Sebastes_aleutianus	normal	Sebastes_aleutianus.PGA_scaffold_4__17	Chr20
Sebaleu.F.PGA_scaffold_25__13	27635216	Sebastes_aleutianus	normal	Sebastes_aleutianus.PGA_scaffold_25__13	Chr21
Sebaleu.F.PGA_scaffold_13__12	24973091	Sebastes_aleutianus	normal	Sebastes_aleutianus.PGA_scaffold_13__12	Chr22
Sebaleu.F.PGA_scaffold_22__8	23039159	Sebastes_aleutianus	normal	Sebastes_aleutianus.PGA_scaffold_22__8	Chr23
Sebaleu.F.PGA_scaffold_21__11	16803817	Sebastes_aleutianus	normal	Sebastes_aleutianus.PGA_scaffold_21__11	Chr24
Sebento.W.HiC_scaffold_1	42682055	Sebastes_entomelas	RC	Sebaleu.F.PGA_scaffold_74__15	Chr1
Sebento.W.HiC_scaffold_2	41440983	Sebastes_entomelas	RC	Sebaleu.F.PGA_scaffold_70__14	Chr2
Sebento.W.HiC_scaffold_3	41101093	Sebastes_entomelas	RC	Sebaleu.F.PGA_scaffold_72__5	Chr3
Sebento.W.HiC_scaffold_4	38280334	Sebastes_entomelas	RC	Sebaleu.F.PGA_scaffold_6__16	Chr5
Sebento.W.HiC_scaffold_5	37905885	Sebastes_entomelas	normal	Sebaleu.F.PGA_scaffold_39__10	Chr4
Sebento.W.HiC_scaffold_6	37378138	Sebastes_entomelas	normal	Sebaleu.F.PGA_scaffold_65__11	Chr7
Sebento.W.HiC_scaffold_7	36282717	Sebastes_entomelas	RC	Sebaleu.F.PGA_scaffold_66__13	Chr6
Sebento.W.HiC_scaffold_8	36020756	Sebastes_entomelas	normal	Sebaleu.F.PGA_scaffold_68__15	Chr8
Sebento.W.HiC_scaffold_9	35089666	Sebastes_entomelas	RC	Sebaleu.F.PGA_scaffold_1__13	Chr10
Sebento.W.HiC_scaffold_10	34468500	Sebastes_entomelas	normal	Sebaleu.F.PGA_scaffold_60__9	Chr9
Sebento.W.HiC_scaffold_11	34459884	Sebastes_entomelas	normal	Sebaleu.F.PGA_scaffold_10__11	Chr11
Sebento.W.HiC_scaffold_12	32520500	Sebastes_entomelas	RC	Sebaleu.F.PGA_scaffold_67__5	Chr12
Sebento.W.HiC_scaffold_13	31078573	Sebastes_entomelas	normal	Sebaleu.F.PGA_scaffold_7__14	Chr13
Sebento.W.HiC_scaffold_14	30502666	Sebastes_entomelas	RC	Sebaleu.F.PGA_scaffold_38__11	Chr15
Sebento.W.HiC_scaffold_15	30431831	Sebastes_entomelas	normal	Sebaleu.F.PGA_scaffold_62__5	Chr16
Sebento.W.HiC_scaffold_16	29983669	Sebastes_entomelas	RC	Sebaleu.F.PGA_scaffold_32__8	Chr14
Sebento.W.HiC_scaffold_17	29475587	Sebastes_entomelas	RC	Sebaleu.F.PGA_scaffold_17__13	Chr17
Sebento.W.HiC_scaffold_18	29200666	Sebastes_entomelas	RC	Sebaleu.F.PGA_scaffold_34__18	Chr18
Sebento.W.HiC_scaffold_19	28045371	Sebastes_entomelas	RC	Sebaleu.F.PGA_scaffold_31__9	Chr19
Sebento.W.HiC_scaffold_20	27110047	Sebastes_entomelas	RC	Sebaleu.F.PGA_scaffold_25__13	Chr21
Sebento.W.HiC_scaffold_21	26745521	Sebastes_entomelas	RC	Sebaleu.F.PGA_scaffold_4__17	Chr20
Sebento.W.HiC_scaffold_22	23133622	Sebastes_entomelas	normal	Sebaleu.F.PGA_scaffold_22__8	Chr23
Sebento.W.HiC_scaffold_23	21918889	Sebastes_entomelas	RC	Sebaleu.F.PGA_scaffold_13__12	Chr22
Sebento.W.HiC_scaffold_24	15916927	Sebastes_entomelas	RC	Sebaleu.F.PGA_scaffold_21__11	Chr24
Sebmini.F.HiC_scaffold_1	41501306	Sebastes_miniatus	normal	Sebaleu.F.PGA_scaffold_70__14	Chr2
Sebmini.F.HiC_scaffold_2	40817979	Sebastes_miniatus	normal	Sebaleu.F.PGA_scaffold_72__5	Chr3
Sebmini.F.HiC_scaffold_3	38690144	Sebastes_miniatus	normal	Sebaleu.F.PGA_scaffold_39__10	Chr4
Sebmini.F.HiC_scaffold_4	38489000	Sebastes_miniatus	normal	Sebaleu.F.PGA_scaffold_6__16	Chr5
Sebmini.F.HiC_scaffold_5	36393428	Sebastes_miniatus	normal	Sebaleu.F.PGA_scaffold_68__15	Chr8
Sebmini.F.HiC_scaffold_6	35967500	Sebastes_miniatus	normal	Sebaleu.F.PGA_scaffold_66__13	Chr6
Sebmini.F.HiC_scaffold_7	35231948	Sebastes_miniatus	RC	Sebaleu.F.PGA_scaffold_1__13	Chr10
Sebmini.F.HiC_scaffold_8	35161225	Sebastes_miniatus	normal	Sebaleu.F.PGA_scaffold_65__11	Chr7
Sebmini.F.HiC_scaffold_9	34678021	Sebastes_miniatus	RC	Sebaleu.F.PGA_scaffold_60__9	Chr9
Sebmini.F.HiC_scaffold_10	33605893	Sebastes_miniatus	RC	Sebaleu.F.PGA_scaffold_10__11	Chr11
Sebmini.F.HiC_scaffold_11	33377378	Sebastes_miniatus	RC	Sebaleu.F.PGA_scaffold_7__14	Chr13
Sebmini.F.HiC_scaffold_12	33117565	Sebastes_miniatus	RC	Sebaleu.F.PGA_scaffold_67__5	Chr12
Sebmini.F.HiC_scaffold_13	32075500	Sebastes_miniatus	normal	Sebaleu.F.PGA_scaffold_32__8	Chr14
Sebmini.F.HiC_scaffold_14	31768552	Sebastes_miniatus	normal	Sebaleu.F.PGA_scaffold_38__11	Chr15
Sebmini.F.HiC_scaffold_15	31504899	Sebastes_miniatus	RC	Sebaleu.F.PGA_scaffold_62__5	Chr16
Sebmini.F.HiC_scaffold_16	30897500	Sebastes_miniatus	normal	Sebaleu.F.PGA_scaffold_17__13	Chr17
Sebmini.F.HiC_scaffold_17	29250500	Sebastes_miniatus	RC	Sebaleu.F.PGA_scaffold_34__18	Chr18
Sebmini.F.HiC_scaffold_18	27652213	Sebastes_miniatus	normal	Sebaleu.F.PGA_scaffold_25__13	Chr21
Sebmini.F.HiC_scaffold_19	27546740	Sebastes_miniatus	RC	Sebaleu.F.PGA_scaffold_74__15	Chr1A
Sebmini.F.HiC_scaffold_20	27193500	Sebastes_miniatus	RC	Sebaleu.F.PGA_scaffold_31__9	Chr19
Sebmini.F.HiC_scaffold_21	26387194	Sebastes_miniatus	normal	Sebaleu.F.PGA_scaffold_4__17	Chr20
Sebmini.F.HiC_scaffold_22	23735143	Sebastes_miniatus	RC	Sebaleu.F.PGA_scaffold_13__12	Chr22
Sebmini.F.HiC_scaffold_23	23196416	Sebastes_miniatus	normal	Sebaleu.F.PGA_scaffold_22__8	Chr23
Sebmini.F.HiC_scaffold_24	15301000	Sebastes_miniatus	RC	Sebaleu.F.PGA_scaffold_21__11	Chr24
Sebmini.F.HiC_scaffold_25	10443941	Sebastes_miniatus	NA	NA	Chr1B
Sebpinn.F.000000F	28090168	Sebastes_pinniger	RC	Sebaleu.F.PGA_scaffold_68__15	Chr8
Sebpinn.F.000001F	27866350	Sebastes_pinniger	normal	Sebaleu.F.PGA_scaffold_34__18	Chr18
Sebpinn.F.000002F	25948665	Sebastes_pinniger	RC	Sebaleu.F.PGA_scaffold_10__11	Chr11
Sebpinn.F.000003F	24919061	Sebastes_pinniger	normal	Sebaleu.F.PGA_scaffold_39__10	Chr4
Sebpinn.F.000004F	24611154	Sebastes_pinniger	RC	Sebaleu.F.PGA_scaffold_67__5	Chr12
Sebpinn.F.000005F	23031843	Sebastes_pinniger	RC	Sebaleu.F.PGA_scaffold_70__14	Chr2A
Sebpinn.F.000006F	20918320	Sebastes_pinniger	RC	Sebaleu.F.PGA_scaffold_4__17	Chr20
Sebpinn.F.000008F	19616145	Sebastes_pinniger	RC	Sebaleu.F.PGA_scaffold_7__14	Chr13
Sebpinn.F.000009F	18534669	Sebastes_pinniger	NA	NA	Chr2B
Sebpinn.F.000010F	18344351	Sebastes_pinniger	RC	Sebaleu.F.PGA_scaffold_65__11	Chr7A
Sebpinn.F.000012F	18130817	Sebastes_pinniger	RC	Sebaleu.F.PGA_scaffold_66__13	Chr6
Sebpinn.F.000011F	18080357	Sebastes_pinniger	normal	Sebaleu.F.PGA_scaffold_25__13	Chr21
Sebpinn.F.000013F	16681145	Sebastes_pinniger	normal	Sebaleu.F.PGA_scaffold_62__5	Chr16A
Sebpinn.F.000014F	15224122	Sebastes_pinniger	RC	Sebaleu.F.PGA_scaffold_38__11	Chr15
Sebpinn.F.000015F	14921979	Sebastes_pinniger	normal	Sebaleu.F.PGA_scaffold_1__13	Chr10
Sebpinn.F.000016F	14366897	Sebastes_pinniger	normal	Sebaleu.F.PGA_scaffold_22__8	Chr23
Sebpinn.F.000017F	13355912	Sebastes_pinniger	RC	Sebaleu.F.PGA_scaffold_72__5	Chr3
Sebpinn.F.000018F	12478837	Sebastes_pinniger	normal	Sebaleu.F.PGA_scaffold_31__9	Chr19
Sebpinn.F.000019F	11356530	Sebastes_pinniger	NA	NA	Chr7B
Sebpinn.F.000020F	10594668	Sebastes_pinniger	NA	NA	Chr16B
Sebpinn.F.000022F	10322175	Sebastes_pinniger	NA	NA	Chr5A
Sebpinn.F.000021F	10322032	Sebastes_pinniger	NA	NA	Chr9A
Sebpinn.F.000024F	10084442	Sebastes_pinniger	NA	NA	Chr9B
Sebpinn.F.000023F	10082049	Sebastes_pinniger	NA	NA	Chr14A
Sebrosa.F.HiC_scaffold_1	43821416	Sebastes_rosaceus	normal	Sebaleu.F.PGA_scaffold_74__15	Chr1
Sebrosa.F.HiC_scaffold_2	41671508	Sebastes_rosaceus	RC	Sebaleu.F.PGA_scaffold_70__14	Chr2
Sebrosa.F.HiC_scaffold_3	41384701	Sebastes_rosaceus	normal	Sebaleu.F.PGA_scaffold_72__5	Chr3
Sebrosa.F.HiC_scaffold_4	38495164	Sebastes_rosaceus	RC	Sebaleu.F.PGA_scaffold_6__16	Chr5
Sebrosa.F.HiC_scaffold_5	36167084	Sebastes_rosaceus	normal	Sebaleu.F.PGA_scaffold_66__13	Chr6
Sebrosa.F.HiC_scaffold_6	36035220	Sebastes_rosaceus	RC	Sebaleu.F.PGA_scaffold_65__11	Chr7
Sebrosa.F.HiC_scaffold_7	35683859	Sebastes_rosaceus	normal	Sebaleu.F.PGA_scaffold_60__9	Chr9
Sebrosa.F.HiC_scaffold_8	34991298	Sebastes_rosaceus	RC	Sebaleu.F.PGA_scaffold_1__13	Chr10
Sebrosa.F.HiC_scaffold_9	34635742	Sebastes_rosaceus	normal	Sebaleu.F.PGA_scaffold_10__11	Chr11
Sebrosa.F.HiC_scaffold_10	34605222	Sebastes_rosaceus	RC	Sebaleu.F.PGA_scaffold_68__15	Chr8
Sebrosa.F.HiC_scaffold_11	33493500	Sebastes_rosaceus	RC	Sebaleu.F.PGA_scaffold_67__5	Chr12
Sebrosa.F.HiC_scaffold_12	32423383	Sebastes_rosaceus	normal	Sebaleu.F.PGA_scaffold_7__14	Chr13
Sebrosa.F.HiC_scaffold_13	31757000	Sebastes_rosaceus	RC	Sebaleu.F.PGA_scaffold_38__11	Chr15
Sebrosa.F.HiC_scaffold_14	31719422	Sebastes_rosaceus	RC	Sebaleu.F.PGA_scaffold_32__8	Chr14
Sebrosa.F.HiC_scaffold_15	30588319	Sebastes_rosaceus	normal	Sebaleu.F.PGA_scaffold_62__5	Chr16
Sebrosa.F.HiC_scaffold_16	30071980	Sebastes_rosaceus	normal	Sebaleu.F.PGA_scaffold_17__13	Chr17
Sebrosa.F.HiC_scaffold_17	29532780	Sebastes_rosaceus	normal	Sebaleu.F.PGA_scaffold_34__18	Chr18
Sebrosa.F.HiC_scaffold_18	27573720	Sebastes_rosaceus	normal	Sebaleu.F.PGA_scaffold_25__13	Chr21
Sebrosa.F.HiC_scaffold_19	26906937	Sebastes_rosaceus	normal	Sebaleu.F.PGA_scaffold_4__17	Chr20
Sebrosa.F.HiC_scaffold_20	26849358	Sebastes_rosaceus	normal	Sebaleu.F.PGA_scaffold_31__9	Chr19
Sebrosa.F.HiC_scaffold_21	25045832	Sebastes_rosaceus	RC	Sebaleu.F.PGA_scaffold_13__12	Chr22
Sebrosa.F.HiC_scaffold_22	23446370	Sebastes_rosaceus	RC	Sebaleu.F.PGA_scaffold_22__8	Chr23
Sebrosa.F.HiC_scaffold_23	21288441	Sebastes_rosaceus	normal	Sebaleu.F.PGA_scaffold_39__10	Chr4A
Sebrosa.F.HiC_scaffold_24	17551982	Sebastes_rosaceus	NA	NA	Chr4B
Sebrosa.F.HiC_scaffold_25	15521000	Sebastes_rosaceus	NA	NA	Chr24
genome_hic_scaffold_1	43928042	Sebastes_schlegelii	NA	Sebaleu.F.PGA_scaffold_74__15	Chr1
genome_hic_scaffold_2	42604752	Sebastes_schlegelii	NA	Sebaleu.F.PGA_scaffold_70__14	Chr2
genome_hic_scaffold_3	41099864	Sebastes_schlegelii	NA	Sebaleu.F.PGA_scaffold_1__13	Chr10
genome_hic_scaffold_4	40690939	Sebastes_schlegelii	NA	Sebaleu.F.PGA_scaffold_17__13	Chr17
genome_hic_scaffold_5	39638966	Sebastes_schlegelii	NA	Sebaleu.F.PGA_scaffold_72__5	Chr3
genome_hic_scaffold_6	38184723	Sebastes_schlegelii	NA	Sebaleu.F.PGA_scaffold_6__16	Chr5
genome_hic_scaffold_7	37532197	Sebastes_schlegelii	NA	Sebaleu.F.PGA_scaffold_67__5	Chr12
genome_hic_scaffold_8	36675045	Sebastes_schlegelii	NA	Sebaleu.F.PGA_scaffold_66__13	Chr6
genome_hic_scaffold_9	36546961	Sebastes_schlegelii	NA	Sebaleu.F.PGA_scaffold_39__10	Chr4
genome_hic_scaffold_10	36163463	Sebastes_schlegelii	NA	Sebaleu.F.PGA_scaffold_65__11	Chr7
genome_hic_scaffold_11	34771888	Sebastes_schlegelii	NA	Sebaleu.F.PGA_scaffold_38__11	Chr15
genome_hic_scaffold_12	33217404	Sebastes_schlegelii	NA	Sebaleu.F.PGA_scaffold_68__15	Chr8
genome_hic_scaffold_13	32715586	Sebastes_schlegelii	NA	Sebaleu.F.PGA_scaffold_62__5	Chr16
genome_hic_scaffold_14	32366827	Sebastes_schlegelii	NA	Sebaleu.F.PGA_scaffold_32__8	Chr14
genome_hic_scaffold_15	31180171	Sebastes_schlegelii	NA	Sebaleu.F.PGA_scaffold_10__11	Chr11
genome_hic_scaffold_16	30925316	Sebastes_schlegelii	NA	Sebaleu.F.PGA_scaffold_22__8	Chr23
genome_hic_scaffold_17	30896493	Sebastes_schlegelii	NA	Sebaleu.F.PGA_scaffold_31__9	Chr19
genome_hic_scaffold_18	30831959	Sebastes_schlegelii	NA	Sebaleu.F.PGA_scaffold_25__13	Chr21
genome_hic_scaffold_19	30050174	Sebastes_schlegelii	NA	Sebaleu.F.PGA_scaffold_60__9	Chr9
genome_hic_scaffold_20	29890757	Sebastes_schlegelii	NA	Sebaleu.F.PGA_scaffold_7__14	Chr13
genome_hic_scaffold_21	28468378	Sebastes_schlegelii	NA	Sebaleu.F.PGA_scaffold_4__17	Chr20
genome_hic_scaffold_22	28125667	Sebastes_schlegelii	NA	Sebaleu.F.PGA_scaffold_34__18	Chr18
genome_hic_scaffold_23	27621098	Sebastes_schlegelii	NA	Sebaleu.F.PGA_scaffold_13__12	Chr22
genome_hic_scaffold_24	16577481	Sebastes_schlegelii	NA	Sebaleu.F.PGA_scaffold_21__11	Chr24
Sebumbr.F.scaffold_1	41481101	Sebastes_umbrosus	RC	Sebaleu.F.PGA_scaffold_72__5	Chr3
Sebumbr.F.scaffold_2	41039276	Sebastes_umbrosus	normal	Sebaleu.F.PGA_scaffold_70__14	Chr2
Sebumbr.F.scaffold_3	40377126	Sebastes_umbrosus	normal	Sebaleu.F.PGA_scaffold_74__15	Chr1
Sebumbr.F.scaffold_4	38769255	Sebastes_umbrosus	normal	Sebaleu.F.PGA_scaffold_39__10	Chr4
Sebumbr.F.scaffold_5	38325732	Sebastes_umbrosus	RC	Sebaleu.F.PGA_scaffold_6__16	Chr5
Sebumbr.F.scaffold_6	36549499	Sebastes_umbrosus	RC	Sebaleu.F.PGA_scaffold_66__13	Chr6
Sebumbr.F.scaffold_7	35746314	Sebastes_umbrosus	RC	Sebaleu.F.PGA_scaffold_65__11	Chr7
Sebumbr.F.scaffold_8	35680037	Sebastes_umbrosus	normal	Sebaleu.F.PGA_scaffold_68__15	Chr8
Sebumbr.F.scaffold_9	34670936	Sebastes_umbrosus	RC	Sebaleu.F.PGA_scaffold_60__9	Chr9
Sebumbr.F.scaffold_10	34628818	Sebastes_umbrosus	RC	Sebaleu.F.PGA_scaffold_10__11	Chr11
Sebumbr.F.scaffold_11	34277499	Sebastes_umbrosus	normal	Sebaleu.F.PGA_scaffold_67__5	Chr12
Sebumbr.F.scaffold_12	33802318	Sebastes_umbrosus	normal	Sebaleu.F.PGA_scaffold_1__13	Chr10
Sebumbr.F.scaffold_13	31941864	Sebastes_umbrosus	RC	Sebaleu.F.PGA_scaffold_62__5	Chr16
Sebumbr.F.scaffold_14	31724414	Sebastes_umbrosus	normal	Sebaleu.F.PGA_scaffold_32__8	Chr14
Sebumbr.F.scaffold_15	31536540	Sebastes_umbrosus	normal	Sebaleu.F.PGA_scaffold_7__14	Chr13
Sebumbr.F.scaffold_16	31355489	Sebastes_umbrosus	RC	Sebaleu.F.PGA_scaffold_38__11	Chr15
Sebumbr.F.scaffold_17	29327537	Sebastes_umbrosus	normal	Sebaleu.F.PGA_scaffold_17__13	Chr17
Sebumbr.F.scaffold_18	27566639	Sebastes_umbrosus	RC	Sebaleu.F.PGA_scaffold_31__9	Chr19
Sebumbr.F.scaffold_19	26804893	Sebastes_umbrosus	RC	Sebaleu.F.PGA_scaffold_4__17	Chr20
Sebumbr.F.scaffold_20	25561816	Sebastes_umbrosus	normal	Sebaleu.F.PGA_scaffold_25__13	Chr21
Sebumbr.F.scaffold_21	22754756	Sebastes_umbrosus	RC	Sebaleu.F.PGA_scaffold_22__8	Chr23
Sebumbr.F.scaffold_22	22332438	Sebastes_umbrosus	RC	Sebaleu.F.PGA_scaffold_34__18	Chr18
Sebumbr.F.scaffold_23	20365341	Sebastes_umbrosus	RC	Sebaleu.F.PGA_scaffold_13__12	Chr22
Sebumbr.F.scaffold_24	18725433	Sebastes_umbrosus	RC	Sebaleu.F.PGA_scaffold_21__11	Chr24
Sboalas.W.ctg1	12414354	Sebastolobus_alascanus	normal	Sebaleu.F.PGA_scaffold_13__12	Chr22
Sboalas.W.ctg6	11232188	Sebastolobus_alascanus	RC	Sebaleu.F.PGA_scaffold_39__10	Chr4
Sboalas.W.ctg13	10286196	Sebastolobus_alascanus	RC	Sebaleu.F.PGA_scaffold_66__13	Chr6
Sboalas.W.ctg32	10180422	Sebastolobus_alascanus	RC	Sebaleu.F.PGA_scaffold_72__5	Chr3
